update_time,value_time,status,value
2016-03-21 18:44:54.498,2016-03-21 18:44:45.838,nominal,23.2749996185
2016-03-21 18:45:04.498,2016-03-21 18:44:55.838,nominal,23.2649993896
2016-03-21 18:45:14.498,2016-03-21 18:45:05.838,nominal,23.25
2016-03-21 18:45:24.498,2016-03-21 18:45:15.838,nominal,23.8549995422
2016-03-21 18:45:34.498,2016-03-21 18:45:25.838,nominal,22.75
2016-03-21 18:45:44.498,2016-03-21 18:45:35.839,nominal,23.8549995422
2016-03-21 18:45:54.499,2016-03-21 18:45:45.839,nominal,23.8050003052
2016-03-21 18:46:04.498,2016-03-21 18:45:55.838,nominal,23.9200000763
2016-03-21 18:46:14.498,2016-03-21 18:46:05.839,nominal,23.2749996185
2016-03-21 18:46:24.498,2016-03-21 18:46:15.838,nominal,23.8600006104
2016-03-21 18:46:34.498,2016-03-21 18:46:25.838,nominal,23.8299999237
2016-03-21 18:46:44.498,2016-03-21 18:46:35.838,nominal,23.6499996185
2016-03-21 18:46:54.498,2016-03-21 18:46:45.840,nominal,23.3250007629
2016-03-21 18:47:04.498,2016-03-21 18:46:55.838,nominal,23.8199996948
2016-03-21 18:47:14.498,2016-03-21 18:47:05.838,nominal,23.1749992371
2016-03-21 18:47:24.499,2016-03-21 18:47:15.839,nominal,23.3400001526
2016-03-21 18:47:34.498,2016-03-21 18:47:25.839,nominal,23.8799991608
2016-03-21 18:47:44.498,2016-03-21 18:47:35.838,nominal,23.1550006866
2016-03-21 18:47:54.498,2016-03-21 18:47:45.838,nominal,23.2399997711
2016-03-21 18:48:04.498,2016-03-21 18:47:55.838,nominal,23.8649997711
2016-03-21 18:48:14.498,2016-03-21 18:48:05.838,nominal,23.25
2016-03-21 18:48:24.498,2016-03-21 18:48:15.838,nominal,23.6399993896
2016-03-21 18:48:34.498,2016-03-21 18:48:25.839,nominal,23.8549995422
2016-03-21 18:48:44.499,2016-03-21 18:48:35.838,nominal,23.2700004578
2016-03-21 18:48:54.498,2016-03-21 18:48:45.838,nominal,23.6550006866
2016-03-21 18:49:04.498,2016-03-21 18:48:55.839,nominal,23.3449993134
2016-03-21 18:49:14.498,2016-03-21 18:49:05.838,nominal,23.2549991608
2016-03-21 18:49:24.499,2016-03-21 18:49:15.838,nominal,23.3999996185
2016-03-21 18:49:34.498,2016-03-21 18:49:25.838,nominal,23.8250007629
2016-03-21 18:49:44.498,2016-03-21 18:49:35.838,nominal,23.2549991608
2016-03-21 18:49:54.498,2016-03-21 18:49:45.839,nominal,23.2199993134
2016-03-21 18:50:04.498,2016-03-21 18:49:55.838,nominal,23.6450004578
2016-03-21 18:50:14.498,2016-03-21 18:50:05.838,nominal,23.125
2016-03-21 18:50:24.498,2016-03-21 18:50:15.838,nominal,23.2800006866
2016-03-21 18:50:34.498,2016-03-21 18:50:25.839,nominal,23.6650009155
2016-03-21 18:50:44.498,2016-03-21 18:50:35.838,nominal,23.9349994659
2016-03-21 18:50:54.499,2016-03-21 18:50:45.839,nominal,23.2849998474
2016-03-21 18:51:04.498,2016-03-21 18:50:55.838,nominal,23.1599998474
2016-03-21 18:51:14.498,2016-03-21 18:51:05.838,nominal,23.9150009155
2016-03-21 18:51:24.498,2016-03-21 18:51:15.838,nominal,23.25
2016-03-21 18:51:34.498,2016-03-21 18:51:25.839,nominal,23.8600006104
2016-03-21 18:51:44.498,2016-03-21 18:51:35.838,nominal,23.8999996185
2016-03-21 18:51:54.498,2016-03-21 18:51:45.838,nominal,23.25
2016-03-21 18:52:04.498,2016-03-21 18:51:55.838,nominal,23.3349990845
2016-03-21 18:52:14.498,2016-03-21 18:52:05.838,nominal,23.8600006104
2016-03-21 18:52:24.498,2016-03-21 18:52:15.838,nominal,23.1949996948
2016-03-21 18:52:34.498,2016-03-21 18:52:25.839,nominal,22.8500003815
2016-03-21 18:52:44.498,2016-03-21 18:52:35.839,nominal,23.8700008392
2016-03-21 18:52:54.498,2016-03-21 18:52:45.838,nominal,23.1650009155
2016-03-21 18:53:04.498,2016-03-21 18:52:55.838,nominal,23.5949993134
2016-03-21 18:53:14.498,2016-03-21 18:53:05.838,nominal,23.8799991608
2016-03-21 18:53:24.501,2016-03-21 18:53:15.838,nominal,22.5300006866
2016-03-21 18:53:34.499,2016-03-21 18:53:25.839,nominal,22.7150001526
2016-03-21 18:53:44.498,2016-03-21 18:53:35.838,nominal,23.8950004578
2016-03-21 18:53:54.498,2016-03-21 18:53:45.838,nominal,23.1700000763
2016-03-21 18:54:04.498,2016-03-21 18:53:55.839,nominal,23.2150001526
2016-03-21 18:54:14.498,2016-03-21 18:54:05.838,nominal,23.8799991608
2016-03-21 18:54:24.498,2016-03-21 18:54:15.839,nominal,23.9249992371
2016-03-21 18:54:34.498,2016-03-21 18:54:25.839,nominal,23.6149997711
2016-03-21 18:54:44.498,2016-03-21 18:54:35.838,nominal,23.8700008392
2016-03-21 18:54:54.498,2016-03-21 18:54:45.838,nominal,23.25
2016-03-21 18:55:04.498,2016-03-21 18:54:55.839,nominal,23.6450004578
2016-03-21 18:55:14.498,2016-03-21 18:55:05.838,nominal,23.3400001526
2016-03-21 18:55:24.498,2016-03-21 18:55:15.838,nominal,23.2450008392
2016-03-21 18:55:34.498,2016-03-21 18:55:25.838,nominal,23.6149997711
2016-03-21 18:55:44.498,2016-03-21 18:55:35.838,nominal,23.3050003052
2016-03-21 18:55:54.498,2016-03-21 18:55:45.838,nominal,23.1949996948
2016-03-21 18:56:04.498,2016-03-21 18:55:55.838,nominal,23.1200008392
2016-03-21 18:56:14.499,2016-03-21 18:56:05.839,nominal,23.8850002289
2016-03-21 18:56:24.498,2016-03-21 18:56:15.838,nominal,23.2150001526
2016-03-21 18:56:34.498,2016-03-21 18:56:25.838,nominal,23.1100006104
2016-03-21 18:56:44.498,2016-03-21 18:56:35.839,nominal,23.8899993896
2016-03-21 18:56:54.498,2016-03-21 18:56:45.839,nominal,23.2099990845
2016-03-21 18:57:04.498,2016-03-21 18:56:55.838,nominal,23.3150005341
2016-03-21 18:57:14.498,2016-03-21 18:57:05.838,nominal,23.8400001526
2016-03-21 18:57:24.498,2016-03-21 18:57:15.838,nominal,23.8600006104
2016-03-21 18:57:34.498,2016-03-21 18:57:25.838,nominal,23.1399993896
2016-03-21 18:57:44.498,2016-03-21 18:57:35.839,nominal,23.8400001526
2016-03-21 18:57:54.498,2016-03-21 18:57:45.838,nominal,23.8449993134
2016-03-21 18:58:04.498,2016-03-21 18:57:55.838,nominal,23.5049991608
2016-03-21 18:58:14.498,2016-03-21 18:58:05.838,nominal,23.8050003052
2016-03-21 18:58:24.498,2016-03-21 18:58:15.838,nominal,23.1599998474
2016-03-21 18:58:34.498,2016-03-21 18:58:25.838,nominal,23.5499992371
2016-03-21 18:58:44.498,2016-03-21 18:58:35.838,nominal,22.4400005341
2016-03-21 18:58:54.498,2016-03-21 18:58:45.839,nominal,23.1450004578
2016-03-21 18:59:04.498,2016-03-21 18:58:55.838,nominal,23.1650009155
2016-03-21 18:59:14.498,2016-03-21 18:59:05.838,nominal,23.1650009155
2016-03-21 18:59:24.498,2016-03-21 18:59:15.838,nominal,23.8199996948
2016-03-21 18:59:34.498,2016-03-21 18:59:25.838,nominal,23.1800003052
2016-03-21 18:59:44.498,2016-03-21 18:59:35.839,nominal,23.25
2016-03-21 18:59:54.499,2016-03-21 18:59:45.838,nominal,23.8649997711
2016-03-21 19:00:04.498,2016-03-21 18:59:55.838,nominal,23.8950004578
2016-03-21 19:00:14.498,2016-03-21 19:00:05.838,nominal,23.2250003815
2016-03-21 19:00:24.498,2016-03-21 19:00:15.838,nominal,23.8899993896
2016-03-21 19:00:34.498,2016-03-21 19:00:25.839,nominal,23.7250003815
2016-03-21 19:00:44.498,2016-03-21 19:00:35.840,nominal,22.7150001526
2016-03-21 19:00:54.498,2016-03-21 19:00:45.838,nominal,23.9349994659
2016-03-21 19:01:04.498,2016-03-21 19:00:55.839,nominal,23.8700008392
2016-03-21 19:01:14.499,2016-03-21 19:01:05.838,nominal,23.6749992371
2016-03-21 19:01:24.498,2016-03-21 19:01:15.838,nominal,23.3850002289
2016-03-21 19:01:34.500,2016-03-21 19:01:25.840,nominal,23.2749996185
2016-03-21 19:01:44.498,2016-03-21 19:01:35.838,nominal,23.6949996948
2016-03-21 19:01:54.498,2016-03-21 19:01:45.838,nominal,23.3199996948
2016-03-21 19:02:04.498,2016-03-21 19:01:55.839,nominal,23.2700004578
2016-03-21 19:02:14.499,2016-03-21 19:02:05.838,nominal,23.7099990845
2016-03-21 19:02:24.498,2016-03-21 19:02:15.838,nominal,23.4150009155
2016-03-21 19:02:34.498,2016-03-21 19:02:25.839,nominal,23.3299999237
2016-03-21 19:02:44.498,2016-03-21 19:02:35.838,nominal,23.7399997711
